agent_id,region,role,department,unit,assignment_start_date,assignment_end_date,detention_center_name,supervisor_id
219,Southwest,Deputy Director,Homeland Security Investions (HSI),Intelligence,2023-11-22,2026-09-22,Tacoma ICE Processing Center (WA),102.0
220,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2023-12-31,2024-07-27,Otay Mesa Detention Center (CA),349.0
221,Southwest,Supervisor,Enforcement and Removal Operations (ERO),Intelligence,2021-08-17,2022-08-04,LaSalle ICE Processing Center (LA),364.0
222,West,Supervisor,Office of Professional Responsibility,Detention Management,2021-02-15,2022-07-14,Adelanto ICE Processing Center (CA),252.0
223,Southeast,Supervisor,Office of Professional Responsibility,Intelligence,2022-08-15,2025-10-17,Aurora ICE Processing Center (CO),66.0
224,Southeast,Agent,Homeland Security Investigations (HSI),Field Operations,2022-12-12,2025-04-28,Krome Detention Center (FL),294.0
225,Southeast,Senior Agent,Homeland Security Investigations (HSI),Fugitive Operations,2022-08-12,2024-08-16,Krome Detention Center (FL),65.0
226,West,Senior Agent,Management & Administration,Intelligence,2024-08-29,,Stewart Detention Center (GA),78.0
227,Southwest,Senior Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2021-12-09,2024-12-05,Eloy Detention Center (AZ),145.0
228,Southeast,Supervisor,Homeland Security Investions (HSI),Intelligence,2020-09-13,2024-03-24,Tacoma ICE Processing Center (WA),273.0
229,Southeast,Analyst,Homeland Security Investions (HSI),Intelligence,2020-11-11,,Florence Detention Center (AZ),319.0
230,Southwest,Analyst,Enforcement and Removal Operations (ERO),Fugitive Operations,2020-04-03,2023-07-28,Adelanto ICE Processing Center (CA),135.0
231,West,Analyst,Management & Administration,Intelligence,2022-10-16,2025-12-06,Stewart Detention Center (GA),148.0
232,Southwest,Deputy Director,Homeland Security Investions (HSI),Field Operations,2022-07-17,,Tacoma ICE Processing Center (WA),30.0
233,West,Deputy Director,Management & Administration,Field Operations,2021-02-21,2022-01-11,Krome Detention Center (FL),160.0
234,Southwest,Supervisor,Management & Administration,Detention Management,2022-11-20,2024-10-03,Aurora ICE Processing Center (CO),123.0
235,Mountain,Agent,Homeland Security Investigations (HSI),Field Operations,2020-10-15,,Eloy Detention Center (AZ),148.0
236,Mountain,Analyst,Management & Administration,Detention Management,2024-07-24,2027-11-19,Otay Mesa Detention Center (CA),369.0
237,Southwest,Senior Agent,Homeland Security Investions (HSI),Field Operations,2022-08-14,2024-06-05,LaSalle ICE Processing Center (LA),254.0
238,Southeast,Agent,Management & Administration,Intelligence,2021-05-08,,Krome Detention Center (FL),180.0
239,Southeast,Agent,Homeland Security Investigations (HSI),Field Operations,2024-12-12,2028-10-19,Florence Detention Center (AZ),240.0
240,Southwest,Analyst,Enforcement and Removal Operations (ERO),Fugitive Operations,2020-10-01,2022-11-19,Port Isabel Detention Center (TX),391.0
241,Mountain,Supervisor,Enforcement and Removal Operations (ERO),Field Operations,2023-03-13,2025-04-23,Stewart Detention Center (GA),283.0
242,Southwest,Agent,Management & Administration,Intelligence,2024-04-14,2027-11-11,Krome Detention Center (FL),348.0
243,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2024-06-15,2027-08-31,Aurora ICE Processing Center (CO),187.0
244,West,Senior Agent,Office of Professional Responsibility,Intelligence,2022-10-21,,Port Isabel Detention Center (TX),19.0
245,West,Supervisor,Management & Administration,Intelligence,2020-11-01,2023-10-22,Krome Detention Center (FL),71.0
246,Southwest,Analyst,Homeland Security Investigations (HSI),Detention Management,2023-06-16,2025-03-19,Port Isabel Detention Center (TX),303.0
247,Southwest,Analyst,Office of Professional Responsibility,Intelligence,2023-12-22,2026-09-19,Krome Detention Center (FL),8.0
248,Southwest,Supervisor,Enforcement and Removal Operations (ERO),Field Operations,2021-09-22,2025-08-31,Florence Detention Center (AZ),322.0
249,Southeast,Analyst,Management & Administration,Transportation and Removal Operations,2023-03-28,,Florence Detention Center (AZ),26.0
250,Mountain,Senior Agent,Office of Professional Responsibility,Intelligence,2020-10-29,2022-04-08,Port Isabel Detention Center (TX),16.0
251,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2022-05-07,,Aurora ICE Processing Center (CO),353.0
252,West,Deputy Director,Office of Professional Responsibility,Intelligence,2024-11-22,2025-04-28,Krome Detention Center (FL),361.0
253,West,Analyst,Homeland Security Investions (HSI),Intelligence,2023-09-18,2025-11-27,Aurora ICE Processing Center (CO),160.0
254,West,Deputy Director,Office of Professional Responsibility,Transportation and Removal Operations,2021-12-26,2025-11-19,LaSalle ICE Processing Center (LA),329.0
255,Southwest,Analyst,Management & Administration,Detention Management,2021-07-25,2022-11-27,Eloy Detention Center (AZ),152.0
256,Southwest,Senior Agent,Management & Administration,Transportation and Removal Operations,2021-12-15,2023-07-28,Krome Detention Center (FL),147.0
257,Southeast,Analyst,Office of Professional Responsibility,Field Operations,2024-08-03,2025-06-28,Port Isabel Detention Center (TX),148.0
258,Southeast,Supervisor,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2023-09-05,,Krome Detention Center (FL),245.0
259,West,Senior Agent,Office of Professional Responsibility,Transportation and Removal Operations,2023-11-26,,LaSalle ICE Processing Center (LA),55.0
260,West,Senior Agent,Enforcement and Removal Operations (ERO),Intelligence,2023-07-30,,Eloy Detention Center (AZ),51.0
261,Mountain,Supervisor,Management & Administration,Fugitive Operations,2020-01-11,2020-12-29,Otay Mesa Detention Center (CA),208.0
262,Mountain,Deputy Director,Homeland Security Investions (HSI),Transportation and Removal Operations,2021-08-07,2022-03-08,Aurora ICE Processing Center (CO),333.0
263,West,Analyst,Enforcement and Removal Operations (ERO),Detention Management,2024-12-11,2025-03-25,Port Isabel Detention Center (TX),203.0
264,Mountain,Senior Agent,Homeland Security Investigations (HSI),Fugitive Operations,2021-09-03,2022-05-10,Stewart Detention Center (GA),171.0
265,Southwest,Deputy Director,Office of Professional Responsibility,Intelligence,2024-12-26,2027-11-23,Krome Detention Center (FL),239.0
266,Southwest,Senior Agent,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2024-02-06,2025-08-15,Otay Mesa Detention Center (CA),367.0
267,West,Agent,Homeland Security Investigations (HSI),Transportation and Removal Operations,2023-10-13,2024-11-05,Florence Detention Center (AZ),312.0
268,Mountain,Deputy Director,Office of Professional Responsibility,Transportation and Removal Operations,2022-03-31,2023-05-13,Adelanto ICE Processing Center (CA),71.0
269,Mountain,Supervisor,Homeland Security Investions (HSI),Fugitive Operations,2022-02-24,,Tacoma ICE Processing Center (WA),385.0
270,Southwest,Supervisor,Homeland Security Investigations (HSI),Intelligence,2020-01-24,,Florence Detention Center (AZ),184.0
271,West,Agent,Enforcement and Removal Operations (ERO),Field Operations,2020-11-23,2023-10-18,Tacoma ICE Processing Center (WA),360.0
272,Southwest,Agent,Homeland Security Investigations (HSI),Transportation and Removal Operations,2021-03-28,,Florence Detention Center (AZ),68.0
273,Mountain,Senior Agent,Management & Administration,Intelligence,2022-05-01,2025-01-19,Aurora ICE Processing Center (CO),387.0
274,West,Senior Agent,Office of Professional Responsibility,Fugitive Operations,2022-07-03,2024-08-11,LaSalle ICE Processing Center (LA),39.0
275,Southeast,Agent,Office of Professional Responsibility,Intelligence,2023-03-18,2024-03-18,Eloy Detention Center (AZ),167.0
276,Mountain,Agent,Homeland Security Investions (HSI),Intelligence,2020-07-05,2023-02-02,Krome Detention Center (FL),28.0
277,Mountain,Senior Agent,Office of Professional Responsibility,Field Operations,2023-02-28,,Krome Detention Center (FL),236.0
278,Southwest,Agent,Management & Administration,Transportation and Removal Operations,2024-03-07,,Stewart Detention Center (GA),37.0
279,Southeast,Deputy Director,Homeland Security Investigations (HSI),Fugitive Operations,2020-05-03,2020-10-21,LaSalle ICE Processing Center (LA),241.0
280,Southeast,Supervisor,Management & Administration,Detention Management,2024-04-17,2027-12-30,Otay Mesa Detention Center (CA),215.0
281,Southwest,Deputy Director,Management & Administration,Field Operations,2020-06-13,2024-03-29,Port Isabel Detention Center (TX),276.0
282,West,Supervisor,Enforcement and Removal Operations (ERO),Detention Management,2022-03-15,2023-07-14,LaSalle ICE Processing Center (LA),1.0
283,Southeast,Supervisor,Management & Administration,Intelligence,2022-12-25,2024-05-08,Port Isabel Detention Center (TX),126.0
284,Mountain,Supervisor,Homeland Security Investions (HSI),Transportation and Removal Operations,2024-11-27,2025-08-15,Eloy Detention Center (AZ),16.0
285,Mountain,Analyst,Enforcement and Removal Operations (ERO),Detention Management,2020-05-17,,Eloy Detention Center (AZ),17.0
286,Mountain,Analyst,Enforcement and Removal Operations (ERO),Detention Management,2022-04-03,2025-05-12,Stewart Detention Center (GA),111.0
287,Southeast,Senior Agent,Office of Professional Responsibility,Transportation and Removal Operations,2024-07-28,2027-11-19,Eloy Detention Center (AZ),163.0
288,Southwest,Senior Agent,Homeland Security Investigations (HSI),Detention Management,2021-03-28,2022-11-11,LaSalle ICE Processing Center (LA),31.0
289,West,Deputy Director,Office of Professional Responsibility,Field Operations,2021-12-06,2025-10-10,Stewart Detention Center (GA),195.0
290,Southwest,Deputy Director,Management & Administration,Detention Management,2022-02-09,,Tacoma ICE Processing Center (WA),275.0
291,Mountain,Senior Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2024-07-08,2024-12-03,Otay Mesa Detention Center (CA),287.0
292,Mountain,Deputy Director,Office of Professional Responsibility,Intelligence,2022-03-06,,Otay Mesa Detention Center (CA),104.0
293,Southwest,Agent,Management & Administration,Transportation and Removal Operations,2023-01-01,2024-02-25,Adelanto ICE Processing Center (CA),26.0
294,Southwest,Deputy Director,Office of Professional Responsibility,Intelligence,2024-11-24,,Stewart Detention Center (GA),389.0
295,West,Deputy Director,Homeland Security Investions (HSI),Transportation and Removal Operations,2020-02-01,,Tacoma ICE Processing Center (WA),97.0
296,Southeast,Deputy Director,Homeland Security Investions (HSI),Intelligence,2022-03-23,2025-05-26,Eloy Detention Center (AZ),164.0
297,Southwest,Deputy Director,Management & Administration,Intelligence,2021-09-23,,Aurora ICE Processing Center (CO),262.0
298,Mountain,Deputy Director,Enforcement and Removal Operations (ERO),Field Operations,2021-02-20,2023-07-17,Aurora ICE Processing Center (CO),23.0
299,West,Senior Agent,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2023-04-11,2025-09-12,LaSalle ICE Processing Center (LA),151.0
300,West,Senior Agent,Homeland Security Investigations (HSI),Detention Management,2023-03-12,2026-01-27,Port Isabel Detention Center (TX),281.0
301,Southwest,Supervisor,Management & Administration,Field Operations,2020-12-10,2022-12-31,Krome Detention Center (FL),86.0
302,West,Analyst,Management & Administration,Detention Management,2023-08-07,2026-08-14,LaSalle ICE Processing Center (LA),17.0
303,Southeast,Agent,Enforcement and Removal Operations (ERO),Field Operations,2024-09-21,2025-03-09,Otay Mesa Detention Center (CA),362.0
304,West,Agent,Homeland Security Investions (HSI),Intelligence,2022-02-03,,Krome Detention Center (FL),326.0
305,Mountain,Deputy Director,Enforcement and Removal Operations (ERO),Fugitive Operations,2023-02-03,2023-04-08,LaSalle ICE Processing Center (LA),271.0
306,Southwest,Analyst,Homeland Security Investigations (HSI),Fugitive Operations,2024-07-23,2027-01-20,LaSalle ICE Processing Center (LA),91.0
307,Southeast,Agent,Office of Professional Responsibility,Detention Management,2021-01-28,2022-07-28,Eloy Detention Center (AZ),181.0
308,Southwest,Deputy Director,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2022-07-29,2026-07-25,Port Isabel Detention Center (TX),115.0
309,Southwest,Agent,Enforcement and Removal Operations (ERO),Fugitive Operations,2022-02-15,2024-11-15,Port Isabel Detention Center (TX),28.0
310,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2023-08-13,2026-11-13,Port Isabel Detention Center (TX),48.0
311,Southeast,Senior Agent,Homeland Security Investions (HSI),Intelligence,2021-07-09,,Krome Detention Center (FL),38.0
312,Southwest,Analyst,Office of Professional Responsibility,Fugitive Operations,2024-10-07,2026-01-04,Otay Mesa Detention Center (CA),300.0
313,West,Deputy Director,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2023-02-28,,Otay Mesa Detention Center (CA),199.0
314,Southwest,Deputy Director,Homeland Security Investions (HSI),Fugitive Operations,2024-03-06,2024-07-23,LaSalle ICE Processing Center (LA),50.0
315,Mountain,Senior Agent,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2024-04-23,2027-09-24,Florence Detention Center (AZ),203.0
316,Southwest,Agent,Homeland Security Investigations (HSI),Field Operations,2021-04-12,2023-06-19,Krome Detention Center (FL),221.0
317,West,Analyst,Management & Administration,Fugitive Operations,2021-08-27,2025-09-25,Florence Detention Center (AZ),37.0
318,Southeast,Supervisor,Homeland Security Investions (HSI),Field Operations,2024-02-23,2026-04-01,Otay Mesa Detention Center (CA),54.0
319,Southeast,Agent,Homeland Security Investigations (HSI),Field Operations,2024-04-08,,Aurora ICE Processing Center (CO),67.0
320,Southeast,Senior Agent,Management & Administration,Field Operations,2023-02-10,2023-10-09,LaSalle ICE Processing Center (LA),13.0
321,Southeast,Supervisor,Office of Professional Responsibility,Fugitive Operations,2023-05-09,2025-08-04,Florence Detention Center (AZ),6.0
322,Southwest,Deputy Director,Management & Administration,Fugitive Operations,2021-05-12,2022-05-24,LaSalle ICE Processing Center (LA),350.0
323,Mountain,Senior Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2021-07-03,2021-12-09,Tacoma ICE Processing Center (WA),85.0
324,Mountain,Supervisor,Management & Administration,Transportation and Removal Operations,2024-05-21,,Krome Detention Center (FL),128.0
325,West,Deputy Director,Office of Professional Responsibility,Intelligence,2022-07-26,,Eloy Detention Center (AZ),155.0
326,Southeast,Deputy Director,Homeland Security Investigations (HSI),Intelligence,2024-07-04,2027-01-21,Port Isabel Detention Center (TX),171.0
327,Mountain,Analyst,Homeland Security Investions (HSI),Transportation and Removal Operations,2023-05-20,2024-08-03,Aurora ICE Processing Center (CO),245.0
328,Southwest,Senior Agent,Management & Administration,Transportation and Removal Operations,2024-02-14,2026-12-15,Tacoma ICE Processing Center (WA),294.0
329,West,Supervisor,Management & Administration,Transportation and Removal Operations,2022-01-17,,Port Isabel Detention Center (TX),288.0
330,West,Analyst,Office of Professional Responsibility,Detention Management,2020-02-25,2022-10-27,LaSalle ICE Processing Center (LA),362.0
331,West,Deputy Director,Homeland Security Investigations (HSI),Fugitive Operations,2023-10-10,2027-05-29,Port Isabel Detention Center (TX),155.0
332,West,Supervisor,Homeland Security Investions (HSI),Field Operations,2020-05-31,2023-11-06,Port Isabel Detention Center (TX),245.0
333,Mountain,Analyst,Office of Professional Responsibility,Field Operations,2020-03-16,2022-04-21,LaSalle ICE Processing Center (LA),359.0
334,Southeast,Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2023-08-18,2026-11-13,Otay Mesa Detention Center (CA),330.0
335,Mountain,Supervisor,Management & Administration,Fugitive Operations,2020-07-20,,Stewart Detention Center (GA),261.0
336,West,Deputy Director,Homeland Security Investigations (HSI),Field Operations,2024-04-30,2028-04-13,Krome Detention Center (FL),256.0
337,West,Supervisor,Enforcement and Removal Operations (ERO),Field Operations,2021-08-28,2022-03-21,Adelanto ICE Processing Center (CA),59.0
338,West,Supervisor,Homeland Security Investigations (HSI),Transportation and Removal Operations,2024-05-25,,Krome Detention Center (FL),247.0
339,Southwest,Deputy Director,Enforcement and Removal Operations (ERO),Field Operations,2021-10-15,,Krome Detention Center (FL),22.0
340,Southeast,Agent,Homeland Security Investigations (HSI),Fugitive Operations,2024-02-25,,Otay Mesa Detention Center (CA),89.0
341,West,Supervisor,Office of Professional Responsibility,Field Operations,2021-04-19,2024-11-28,Krome Detention Center (FL),94.0
342,West,Deputy Director,Management & Administration,Fugitive Operations,2024-12-13,,Florence Detention Center (AZ),303.0
343,Mountain,Deputy Director,Enforcement and Removal Operations (ERO),Detention Management,2021-07-24,2021-12-29,Eloy Detention Center (AZ),295.0
344,Southeast,Analyst,Homeland Security Investions (HSI),Transportation and Removal Operations,2021-02-07,2022-08-28,Aurora ICE Processing Center (CO),343.0
345,Mountain,Analyst,Homeland Security Investigations (HSI),Intelligence,2023-06-05,2024-02-23,Port Isabel Detention Center (TX),178.0
346,Southwest,Deputy Director,Office of Professional Responsibility,Detention Management,2023-06-12,2027-04-18,Tacoma ICE Processing Center (WA),68.0
347,Southwest,Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2021-01-09,2021-11-24,Adelanto ICE Processing Center (CA),261.0
348,Mountain,Deputy Director,Office of Professional Responsibility,Detention Management,2022-02-24,2024-12-16,Florence Detention Center (AZ),325.0
349,West,Analyst,Homeland Security Investions (HSI),Field Operations,2020-10-14,,Tacoma ICE Processing Center (WA),230.0
350,Southeast,Supervisor,Enforcement and Removal Operations (ERO),Field Operations,2021-02-03,2024-04-28,Otay Mesa Detention Center (CA),258.0
351,Mountain,Deputy Director,Management & Administration,Field Operations,2022-09-27,,Krome Detention Center (FL),289.0
352,Southeast,Senior Agent,Homeland Security Investigations (HSI),Fugitive Operations,2021-04-05,2022-04-14,Tacoma ICE Processing Center (WA),399.0
353,Mountain,Analyst,Management & Administration,Intelligence,2020-08-19,2022-03-20,LaSalle ICE Processing Center (LA),396.0
354,Southwest,Analyst,Enforcement and Removal Operations (ERO),Field Operations,2021-03-23,2021-11-17,LaSalle ICE Processing Center (LA),376.0
355,West,Supervisor,Enforcement and Removal Operations (ERO),Field Operations,2021-12-14,2022-07-10,Tacoma ICE Processing Center (WA),224.0
356,Southeast,Senior Agent,Homeland Security Investions (HSI),Intelligence,2024-10-29,2028-06-15,Aurora ICE Processing Center (CO),219.0
357,West,Analyst,Homeland Security Investions (HSI),Detention Management,2024-07-07,,Eloy Detention Center (AZ),179.0
358,Southwest,Analyst,Office of Professional Responsibility,Detention Management,2023-12-12,,Aurora ICE Processing Center (CO),293.0
359,Southwest,Analyst,Enforcement and Removal Operations (ERO),Detention Management,2020-05-01,2024-02-03,Port Isabel Detention Center (TX),64.0
360,West,Senior Agent,Homeland Security Investions (HSI),Transportation and Removal Operations,2024-04-08,2026-07-21,Eloy Detention Center (AZ),250.0
361,West,Analyst,Homeland Security Investigations (HSI),Field Operations,2022-07-14,,Port Isabel Detention Center (TX),393.0
362,Southeast,Deputy Director,Office of Professional Responsibility,Transportation and Removal Operations,2022-07-20,2024-06-19,Aurora ICE Processing Center (CO),297.0
363,Southeast,Agent,Management & Administration,Transportation and Removal Operations,2024-06-17,2025-10-06,Adelanto ICE Processing Center (CA),219.0
364,West,Deputy Director,Homeland Security Investigations (HSI),Transportation and Removal Operations,2021-11-22,2022-09-15,Tacoma ICE Processing Center (WA),289.0
365,Mountain,Supervisor,Enforcement and Removal Operations (ERO),Fugitive Operations,2023-07-06,2026-03-03,Adelanto ICE Processing Center (CA),8.0
366,Southeast,Senior Agent,Management & Administration,Field Operations,2022-05-26,,Stewart Detention Center (GA),352.0
367,West,Supervisor,Homeland Security Investions (HSI),Transportation and Removal Operations,2023-09-02,2024-03-18,Adelanto ICE Processing Center (CA),190.0
368,West,Agent,Management & Administration,Transportation and Removal Operations,2022-05-29,2026-06-08,Eloy Detention Center (AZ),48.0
369,Southeast,Senior Agent,Management & Administration,Fugitive Operations,2023-04-30,,Otay Mesa Detention Center (CA),348.0
370,Mountain,Agent,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2024-10-27,2025-08-23,Adelanto ICE Processing Center (CA),244.0
371,Southeast,Senior Agent,Management & Administration,Fugitive Operations,2020-07-30,2022-05-03,Adelanto ICE Processing Center (CA),70.0
372,Mountain,Senior Agent,Homeland Security Investions (HSI),Fugitive Operations,2023-02-27,,LaSalle ICE Processing Center (LA),332.0
373,West,Deputy Director,Homeland Security Investigations (HSI),Detention Management,2022-04-23,2024-11-14,Otay Mesa Detention Center (CA),111.0
374,Southeast,Agent,Homeland Security Investions (HSI),Fugitive Operations,2024-02-04,2026-08-01,Florence Detention Center (AZ),161.0
375,West,Senior Agent,Homeland Security Investigations (HSI),Fugitive Operations,2023-02-07,2026-08-04,Eloy Detention Center (AZ),145.0
376,Southeast,Supervisor,Homeland Security Investions (HSI),Intelligence,2022-11-09,,Florence Detention Center (AZ),200.0
377,Southwest,Agent,Homeland Security Investions (HSI),Field Operations,2020-08-18,,Port Isabel Detention Center (TX),326.0
378,Southeast,Analyst,Enforcement and Removal Operations (ERO),Transportation and Removal Operations,2020-09-27,2024-01-04,Aurora ICE Processing Center (CO),215.0
379,Southwest,Analyst,Homeland Security Investions (HSI),Field Operations,2020-02-04,2020-04-02,Adelanto ICE Processing Center (CA),134.0
380,West,Agent,Enforcement and Removal Operations (ERO),Field Operations,2021-08-09,2024-06-30,LaSalle ICE Processing Center (LA),392.0
381,Mountain,Deputy Director,Management & Administration,Fugitive Operations,2023-01-06,2024-08-26,LaSalle ICE Processing Center (LA),42.0
382,Southwest,Agent,Office of Professional Responsibility,Detention Management,2023-01-03,2026-05-18,Otay Mesa Detention Center (CA),324.0
383,Southeast,Supervisor,Management & Administration,Detention Management,2021-05-15,,Stewart Detention Center (GA),222.0
384,Southeast,Deputy Director,Office of Professional Responsibility,Intelligence,2021-09-25,2025-07-03,Stewart Detention Center (GA),379.0
385,West,Agent,Enforcement and Removal Operations (ERO),Detention Management,2020-12-01,2022-12-11,Stewart Detention Center (GA),267.0
386,Southwest,Senior Agent,Homeland Security Investigations (HSI),Detention Management,2024-02-10,2024-05-10,Tacoma ICE Processing Center (WA),171.0
387,Mountain,Supervisor,Office of Professional Responsibility,Fugitive Operations,2023-12-29,2027-08-05,Tacoma ICE Processing Center (WA),39.0
388,Mountain,Deputy Director,Office of Professional Responsibility,Transportation and Removal Operations,2022-10-20,2023-10-26,Stewart Detention Center (GA),188.0
389,West,Supervisor,Enforcement and Removal Operations (ERO),Intelligence,2021-04-12,2021-05-17,Adelanto ICE Processing Center (CA),22.0
390,Southeast,Senior Agent,Enforcement and Removal Operations (ERO),Field Operations,2022-02-23,2023-03-26,Aurora ICE Processing Center (CO),18.0
391,Mountain,Senior Agent,Homeland Security Investigations (HSI),Detention Management,2024-01-15,2024-07-22,Port Isabel Detention Center (TX),292.0
392,Southwest,Agent,Office of Professional Responsibility,Fugitive Operations,2021-04-02,2021-08-04,Otay Mesa Detention Center (CA),205.0
393,Southeast,Deputy Director,Homeland Security Investigations (HSI),Transportation and Removal Operations,2020-06-25,2020-08-10,Aurora ICE Processing Center (CO),188.0
394,West,Supervisor,Office of Professional Responsibility,Transportation and Removal Operations,2021-05-11,2024-10-03,Florence Detention Center (AZ),252.0
395,West,Analyst,Homeland Security Investions (HSI),Detention Management,2022-04-19,,Stewart Detention Center (GA),277.0
396,Southwest,Agent,Homeland Security Investigations (HSI),Fugitive Operations,2024-10-04,2026-07-25,Port Isabel Detention Center (TX),53.0
397,West,Analyst,Homeland Security Investions (HSI),Field Operations,2020-05-02,2021-03-19,Krome Detention Center (FL),364.0
398,Southwest,Agent,Enforcement and Removal Operations (ERO),Detention Management,2022-04-25,2024-06-25,LaSalle ICE Processing Center (LA),234.0
399,Southeast,Analyst,Enforcement and Removal Operations (ERO),Intelligence,2023-07-29,2024-01-28,Otay Mesa Detention Center (CA),303.0
400,Southeast,Deputy Director,Homeland Security Investions (HSI),Detention Management,2021-06-18,2023-09-30,Tacoma ICE Processing Center (WA),358.0
